date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:05	912/912	---M-Z	200	added ('OK')	application/javascript	etag:W/%2222cb8f56fc61021bc99f5eff39788226%22	https://static.parastorage.com/services/editor-elements/dist/Container_DefaultAreaSkin.a5785df6.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/editor-elements/dist/Container_DefaultAreaSkin.a5785df6.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:05	13869/13869	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ae60232c1ab5b2b3803c51f3f2f757fe%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-responsive.57ebf68e.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/editor-elements/dist/bootstrap-components-responsive.57ebf68e.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:06	5048/5048	---M-Z	200	added ('OK')	application/javascript	etag:W/%229612131838a50a4c85c36d33c3e4253c%22	https://static.parastorage.com/services/editor-elements/dist/VerticalMenu_VerticalMenuSolidColorSkin.5d52f50e.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/editor-elements/dist/VerticalMenu_VerticalMenuSolidColorSkin.5d52f50e.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:06	538/538	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f92a15df80299c5b88061c2f7645d1a0%22	https://static.parastorage.com/services/editor-elements/dist/MeshGroup.3f5d5bce.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/editor-elements/dist/MeshGroup.3f5d5bce.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:06	8579/8579	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272337361329e3d908f7be2b018275724%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpa-components.949e51fe.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/tpa-components.949e51fe.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:07	214750/214750	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c2b0e37a562445ded1f5e6a661ed4442%22	https://static.parastorage.com/services/wix-thunderbolt/dist/animations-vendors.4e441d04.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/animations-vendors.4e441d04.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:07	31502/31502	---M-Z	200	added ('OK')	application/javascript	etag:W/%2234fdff6ab63ff9ede199dfbdbf9029c2%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-common.60eec122.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/editor-elements/dist/bootstrap-components-common.60eec122.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:07	13363/13363	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2018:19:29%20GMT	https://static.wixstatic.com/media/83c157_a3f361414cf549f3a63f9b4180da206f~mv2.png/v1/fill/w_130,h_39,al_c,usm_0.66_1.00_0.01,blur_3/Black%20textLogo.png	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_a3f361414cf549f3a63f9b4180da206f_mv2.png/v1/fill/w_130,h_39,al_c,usm_0.66_1.00_0.01,blur_3/Black%20textLogo.png	(from https://www.180dcberkeley.com/)
22:28:10	734312/734312	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20May%202021%2016:58:08%20GMT	https://www.180dcberkeley.com/about-us	C:/My%20Web%20Sites/dc180/www.180dcberkeley.com/about-us.html	(from https://www.180dcberkeley.com/)
22:28:11	823446/823446	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20May%202021%2016:58:10%20GMT	https://www.180dcberkeley.com/our-people	C:/My%20Web%20Sites/dc180/www.180dcberkeley.com/our-people.html	(from https://www.180dcberkeley.com/)
